           R               Z        optimized_a            E_exact              E_itp             E_diff
2.7000000000000002 0.6497271854264004 0.3618101608414219 -0.9580277000000000 -0.9580276999957728 -0.0000000000042273
2.7999999999999998 0.6527689510059727 0.3733784491726801 -0.9414989000000000 -0.9414989000070650 0.0000000000070650
2.8999999999999999 0.6556786020247054 0.3847088835880554 -0.9258056000000000 -0.9258055999989827 -0.0000000000010173
3.0000000000000000 0.6584595582686614 0.3957806229005608 -0.9108962000000000 -0.9108961999928684 -0.0000000000071316
3.1000000000000001 0.6611151639680495 0.4065750873777281 -0.8967231000000000 -0.8967231000096632 0.0000000000096632
3.2000000000000002 0.6636486893448732 0.4170755348524093 -0.8832426000000000 -0.8832425999908058 -0.0000000000091942
3.2999999999999998 0.6660633321302192 0.4272671059929494 -0.8704145000000000 -0.8704145000012229 0.0000000000012229
3.3999999999999999 0.6683622190517573 0.4371369404269945 -0.8582017000000000 -0.8582017000117492 0.0000000000117493
3.5000000000000000 0.6705484072920285 0.4466743791932900 -0.8465698000000000 -0.8465697999949625 -0.0000000000050375
3.6000000000000001 0.6726248859180766 0.4558704099754514 -0.8354871000000000 -0.8354870999967189 -0.0000000000032812
3.7000000000000002 0.6745945772829677 0.4647187639385265 -0.8249238000000000 -0.8249237999973283 -0.0000000000026716
3.7999999999999998 0.6764603383997413 0.4732141572487637 -0.8148526000000000 -0.8148525999894757 -0.0000000000105244
3.8999999999999999 0.6782249622883175 0.4813541357979800 -0.8052476000000000 -0.8052476000061745 0.0000000000061745
4.0000000000000000 0.6798911792958762 0.4891373105790144 -0.7960849000000000 -0.7960848999871859 -0.0000000000128141
4.0999999999999996 0.6814616583912199 0.4965644483916045 -0.7873419000000000 -0.7873418999994548 -0.0000000000005452
4.2000000000000002 0.6829390084336142 0.5036378240207305 -0.7789974000000000 -0.7789974000073662 0.0000000000073662
4.2999999999999998 0.6843257794165989 0.5103605260080053 -0.7710317000000000 -0.7710317000086304 0.0000000000086304
4.4000000000000004 0.6856244636872457 0.5167377412995552 -0.7634259000000000 -0.7634259000013470 0.0000000000013470
4.5000000000000000 0.6868374971413367 0.5227754091042552 -0.7561623000000000 -0.7561622999960862 -0.0000000000039138
4.5999999999999996 0.6879672603949240 0.5284805879158762 -0.7492240999999999 -0.7492241000000346 0.0000000000000346
4.7000000000000002 0.6890160799327208 0.5338608526633931 -0.7425955000000000 -0.7425954999994390 -0.0000000000005610
4.7999999999999998 0.6899862292337750 0.5389244782225817 -0.7362615000000000 -0.7362615000041279 0.0000000000041279
4.9000000000000004 0.6908799298748546 0.5436809438055025 -0.7302076000000000 -0.7302076000062008 0.0000000000062008
5.0000000000000000 0.6916993526119786 0.5481393381633443 -0.7244203000000000 -0.7244202999969984 -0.0000000000030016
5.1000000000000005 0.6924466184405101 0.5523094322818114 -0.7188866000000000 -0.7188865999914660 -0.0000000000085341
5.2000000000000002 0.6931237996342233 0.5562006487090414 -0.7135943000000000 -0.7135943000101759 0.0000000000101759
5.2999999999999998 0.6937329207637530 0.5598234994911949 -0.7085314000000000 -0.7085314000029549 0.0000000000029549
5.4000000000000004 0.6942759596948164 0.5631874952476664 -0.7036867999999999 -0.7036867999975841 -0.0000000000024158
5.5000000000000000 0.6947548485666047 0.5663026361016247 -0.6990497000000000 -0.6990497000168078 0.0000000000168078
5.6000000000000005 0.6951714747507174 0.5691781699337682 -0.6946099999999999 -0.6946099999962572 -0.0000000000037428
5.7000000000000002 0.6955276817910228 0.5718238714938169 -0.6903578000000000 -0.6903577999966006 -0.0000000000033994
5.7999999999999998 0.6958252703248047 0.5742485440754228 -0.6862838999999999 -0.6862839000034675 0.0000000000034676
5.9000000000000004 0.6960659989855608 0.5764613409253398 -0.6823793000000000 -0.6823792999958890 -0.0000000000041110
6.0000000000000000 0.6962515852878065 0.5784702837444957 -0.6786357000000000 -0.6786356999766755 -0.0000000000233245
6.1000000000000005 0.6963837064942262 0.5802839016335841 -0.6750448999999999 -0.6750448999984687 -0.0000000000015312
6.2000000000000002 0.6964640004655214 0.5819097650282438 -0.6715993000000000 -0.6715993000100141 0.0000000000100141
